                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.86663,                0.45734,                0.91846,                0.90615,                0.93063,                0.96371,                0.72116,                0.97732,                0.49876,                0.94852,              0.0007922,              0.0007922,              0.0007922
                     63,                0.86117,                0.45378,                0.91093,                0.90939,                0.91042,                 0.9604,                0.71549,                 0.9939,                0.50922,                0.95186,              0.0007724,              0.0007724,              0.0007724
                     64,                0.85757,                0.45929,                0.90747,                0.92061,                0.92636,                0.97262,                0.71649,                0.96607,                0.51955,                0.94792,              0.0007526,              0.0007526,              0.0007526
                     65,                0.84674,                0.44471,                0.90486,                0.92503,                0.93383,                0.96662,                0.71834,                0.97456,                0.49351,                0.95014,              0.0007328,              0.0007328,              0.0007328
                     66,                0.83318,                0.45079,                0.90783,                0.91483,                0.92529,                 0.9673,                0.71674,                0.96906,                0.49693,                0.95066,               0.000713,               0.000713,               0.000713
                     67,                0.85062,                0.44582,                0.91005,                 0.9069,                 0.9253,                0.95843,                0.71845,                0.96844,                0.49396,                0.95124,              0.0006932,              0.0006932,              0.0006932
                     68,                0.83751,                0.44262,                 0.9087,                0.91924,                0.93536,                0.97234,                0.72895,                0.97034,                0.48094,                0.95035,              0.0006734,              0.0006734,              0.0006734
                     69,                0.84032,                0.44077,                0.90352,                0.91886,                0.91849,                0.96815,                0.72803,                0.96264,                  0.475,                0.94893,              0.0006536,              0.0006536,              0.0006536
                     70,                0.81931,                0.43014,                0.89776,                0.94125,                0.91462,                0.97041,                 0.7296,                0.97728,                0.48173,                0.94892,              0.0006338,              0.0006338,              0.0006338
                     71,                0.81896,                0.43228,                0.90322,                0.92863,                0.93032,                 0.9717,                0.73423,                 0.9585,                0.47289,                 0.9471,               0.000614,               0.000614,               0.000614
                     72,                0.82151,                0.43186,                0.90041,                0.91187,                0.92754,                0.96586,                0.71997,                0.97171,                0.50593,                0.95377,              0.0005942,              0.0005942,              0.0005942
                     73,                0.81486,                0.42736,                0.89847,                0.92178,                0.93597,                0.96543,                0.72375,                0.97229,                0.48372,                0.95396,              0.0005744,              0.0005744,              0.0005744
                     74,                0.81385,                0.42257,                0.89806,                0.90991,                 0.9317,                0.96465,                0.72275,                0.96245,                0.48184,                0.94889,              0.0005546,              0.0005546,              0.0005546
                     75,                0.80736,                 0.4278,                0.89974,                0.89845,                 0.9413,                0.96437,                0.72122,                0.96999,                0.49325,                 0.9529,              0.0005348,              0.0005348,              0.0005348
                     76,                0.80897,                0.42277,                 0.8924,                0.93249,                0.92209,                0.97224,                0.72832,                0.97277,                0.47898,                0.95237,               0.000515,               0.000515,               0.000515
                     77,                0.81327,                0.42861,                0.89827,                0.91978,                 0.9177,                0.96711,                0.72025,                 1.0008,                0.49213,                0.96513,              0.0004952,              0.0004952,              0.0004952
                     78,                0.80718,                0.42045,                0.89667,                0.91855,                 0.9388,                0.96724,                0.72451,                0.97925,                0.48415,                0.95694,              0.0004754,              0.0004754,              0.0004754
                     79,                0.78957,                0.41815,                 0.8954,                0.92811,                0.92743,                0.96503,                0.73057,                0.95382,                0.47398,                0.94827,              0.0004556,              0.0004556,              0.0004556
                     80,                0.79704,                0.41845,                0.89417,                0.92203,                0.93388,                0.97038,                0.73357,                0.95956,                0.48248,                0.94932,              0.0004358,              0.0004358,              0.0004358
                     81,                0.78654,                 0.4165,                0.89213,                0.93311,                0.91569,                0.97015,                0.72727,                0.95508,                0.48365,                0.94898,               0.000416,               0.000416,               0.000416
                     82,                0.79101,                0.41096,                0.89148,                0.91071,                0.92529,                0.95889,                0.71565,                0.96694,                0.48337,                 0.9561,              0.0003962,              0.0003962,              0.0003962
                     83,                0.78691,                 0.4127,                0.89585,                0.91196,                0.94023,                0.96353,                0.71776,                0.97955,                0.48888,                0.95322,              0.0003764,              0.0003764,              0.0003764
                     84,                0.78735,                0.40953,                0.89596,                0.92204,                0.92956,                0.96607,                0.72413,                0.95777,                0.46922,                0.95228,              0.0003566,              0.0003566,              0.0003566
                     85,                0.78579,                0.40629,                0.88903,                0.92687,                0.93328,                0.96863,                0.72552,                0.96526,                0.47966,                0.95094,              0.0003368,              0.0003368,              0.0003368
                     86,                0.77884,                0.40882,                0.88902,                0.91394,                0.94557,                0.96684,                0.73205,                0.94822,                0.47271,                0.94354,               0.000317,               0.000317,               0.000317
